date,t,Tau_Motor,Tau_1,Tau_2,vel,encoder_count,mode,level,turn,period,push_leg,degree,phase,Tau_Motor_deriv,Tau_1_deriv,Tau_2_deriv,vel_deriv
10:4:25 - 27/11/2024,18.42,3.4,28.5,15.52,23.18,12670,Active,1,11,51,R,76.36363636363637,1,-0.028999999999998805,-0.23749999999999938,0.5650000000000015,-0.5200000000000009
10:4:25 - 27/11/2024,18.498,3.4,28.32,15.94,23.18,12740,Active,1,11,51,R,87.76119402985076,1,-0.014999999999998792,-0.07333333333333261,0.14333333333333406,-0.20500000000000135
10:4:25 - 27/11/2024,18.622,3.43,28.32,15.94,22.77,12851,Active,1,11,51,R,105.83446404341927,1,0.012000000000001176,-0.0608333333333321,0.29166666666666785,-0.40500000000000064
10:4:25 - 27/11/2024,18.741,3.44,28.19,16.5,22.37,12958,Active,1,11,51,R,123.25644504748983,1,0.011000000000001176,-0.07583333333333207,0.3266666666666678,-0.09500000000000187
10:4:25 - 27/11/2024,18.906,3.44,28.19,16.5,22.58,13108,Active,1,11,51,R,147.67978290366352,1,0.0070000000000011164,-0.0008333333333323846,-0.0424999999999995,0.1049999999999974
10:4:25 - 27/11/2024,18.951,3.45,28.19,16.5,22.58,13148,Active,1,11,51,R,154.19267299864316,2,0.006000000000001171,0.07499999999999901,-0.020000000000000052,0.20499999999999882
10:4:25 - 27/11/2024,19.067,3.46,28.33,16.45,22.99,13255,Active,1,11,51,R,171.6146540027137,2,0.009000000000001174,0.12166666666666712,-0.0741666666666664,0.194999999999999
10:4:25 - 27/11/2024,19.147,3.46,28.41,16.34,22.97,13329,Active,1,11,51,L,183.66350067842606,3,0.00600000000000106,0.07250000000000101,-0.16666666666666635,0.3050000000000002
10:4:25 - 27/11/2024,19.248,3.48,28.49,16.11,23.6,13436,Active,1,11,51,L,201.0854816824966,3,0.003000000000001224,0.09333333333333495,-0.27833333333333377,2.0149999999999992
10:4:25 - 27/11/2024,19.402,3.47,28.6,15.78,27.0,13592,Active,1,11,51,L,226.48575305291723,3,0.013000000000001122,0.12333333333333554,-0.38166666666666615,1.6999999999999977
10:4:25 - 27/11/2024,19.471,3.47,28.73,15.31,27.0,13664,Active,1,11,51,L,238.20895522388062,3,1.1657341758564144e-15,0.12833333333333427,-0.6350000000000005,-0.11000000000000093
10:4:25 - 27/11/2024,19.6,3.53,28.85,14.52,26.78,13791,Active,1,11,51,L,258.887381275441,3,-0.009999999999998899,0.11166666666666705,-0.8750000000000011,-1.2850000000000017
10:4:25 - 27/11/2024,19.717,3.45,28.95,13.65,24.43,13904,Active,1,11,51,L,277.2862957937585,3,-0.01799999999999885,0.08916666666666645,-0.8208333333333337,-0.35000000000000275
10:4:25 - 27/11/2024,19.922,3.43,29.02,13.0,26.08,14121,Active,1,11,51,L,312.61872455902306,3,-0.0219999999999988,0.02416666666666776,-0.2883333333333338,1.7449999999999994
10:4:25 - 27/11/2024,19.997,3.43,29.02,13.0,27.92,14206,Active,1,11,51,L,326.4586160108548,3,-0.003999999999998893,0.050000000000001904,-0.08583333333333355,0.9200000000000002
10:4:25 - 27/11/2024,20.041,3.43,29.12,12.78,27.92,14259,Active,1,11,51,L,335.08819538670286,4,0.010000000000001119,0.07750000000000029,-0.0649999999999998,1.354999999999997
10:4:25 - 27/11/2024,20.162,3.43,29.15,12.92,30.63,14412,Active,1,11,51,L,360.0,4,0.023000000000001075,0.006666666666666157,0.19333333333333474,2.564999999999996
10:4:25 - 27/11/2024,20.248,3.48,29.13,13.14,33.05,14530,Active,1,11,52,R,0.0,1,0.027000000000001134,-0.07083333333333186,0.3150000000000013,1.2099999999999973
10:4:25 - 27/11/2024,20.364,3.52,29.02,13.56,33.05,14677,Active,1,11,52,R,22.263357172907025,1,0.02200000000000113,-0.10333333333333225,0.4833333333333336,-3.1850000000000005
10:4:25 - 27/11/2024,20.486,3.52,28.93,14.12,26.68,14802,Active,1,11,52,R,41.19478334034497,1,-0.03799999999999881,-0.10833333333333309,0.7308333333333351,-3.185
10:4:25 - 27/11/2024,20.575,3.52,28.79,14.96,26.68,14873,Active,1,11,52,R,51.94783340344973,1,-0.068999999999999,-0.17583333333333276,0.7716666666666689,-3.1600000000000015
10:4:25 - 27/11/2024,20.688,3.29,28.59,15.57,20.36,14954,Active,1,11,52,R,64.21539755994951,1,-0.050999999999999046,-0.2099999999999989,0.47833333333333417,-4.4700000000000015
10:4:25 - 27/11/2024,20.81,3.29,28.41,15.9,17.74,15046,Active,1,11,52,R,78.14892721918385,1,-0.018999999999999073,-0.07166666666666599,0.1066666666666675,0.8899999999999996
10:4:25 - 27/11/2024,20.974,3.38,28.41,15.9,22.14,15191,Active,1,11,52,R,100.10938157341187,1,0.027000000000001023,-0.09916666666666554,0.20583333333333403,2.1999999999999997
10:4:25 - 27/11/2024,21.011,3.38,28.21,16.32,22.14,15226,Active,1,11,52,R,105.41018090029449,1,0.01800000000000107,-0.13916666666666622,0.32083333333333447,1.449999999999998
10:4:25 - 27/11/2024,21.135,3.38,28.18,16.46,25.04,15358,Active,1,11,52,R,125.40176693310896,1,0.032000000000001194,0.02583333333333255,0.08916666666666778,2.694999999999999
10:4:25 - 27/11/2024,21.26,3.38,28.24,16.53,27.53,15499,Active,1,11,52,R,146.75641564997898,1,0.048000000000001264,0.09000000000000107,0.02000000000000097,2.0549999999999984
10:4:25 - 27/11/2024,21.338,3.54,28.34,16.51,29.15,15593,Active,1,11,52,R,160.9928481278923,2,0.048000000000001264,0.09083333333333543,-0.028333333333333204,1.6299999999999975
10:4:25 - 27/11/2024,21.458,3.54,28.41,16.48,30.79,15741,Active,1,11,52,L,183.40765671013884,3,0.018000000000001237,0.039166666666667176,0.009999999999998496,0.5099999999999999
10:4:25 - 27/11/2024,21.578,3.54,28.45,16.4,30.17,15885,Active,1,11,52,L,205.21665965502734,3,-0.02099999999999891,0.1341666666666667,-0.5516666666666675,-0.3100000000000004
10:4:25 - 27/11/2024,21.671,3.47,28.65,15.53,30.17,15982,Active,1,11,52,L,219.9074463609592,3,-0.02099999999999891,0.11333333333333394,-0.5008333333333329,-1.8550000000000022
10:4:25 - 27/11/2024,21.781,3.47,28.65,15.53,26.46,16083,Active,1,11,52,L,235.20403870424906,3,-0.04599999999999893,-0.0449999999999991,0.29833333333333345,-3.9100000000000015
10:4:25 - 27/11/2024,21.947,3.47,28.65,15.53,22.35,16230,Active,1,11,52,L,257.4673958771561,3,-0.03599999999999898,0.19333333333333413,-1.5483333333333344,-2.055000000000001
10:4:25 - 27/11/2024,21.992,3.31,28.99,12.82,22.35,16271,Active,1,11,52,L,263.6769036600757,3,-0.029999999999998972,0.22666666666666918,-1.8075000000000019,0.4199999999999987
10:4:25 - 27/11/2024,22.109,3.37,29.05,12.43,23.19,16384,Active,1,11,52,L,280.7909129154396,3,-0.013999999999998958,0.05166666666666797,-0.01750000000000035,1.5499999999999976
10:4:25 - 27/11/2024,22.227,3.37,29.13,12.42,25.45,16512,Active,1,11,52,L,300.1766933108961,3,0.012000000000001121,0.05333333333333279,0.08583333333333341,1.949999999999998
10:4:25 - 27/11/2024,22.312,3.37,29.15,12.54,27.09,16604,Active,1,11,52,L,314.1102229701304,3,1.1102230246251565e-15,0.007500000000000519,0.13333333333333386,1.644999999999998
10:4:25 - 27/11/2024,22.431,3.37,29.15,12.67,28.74,16744,Active,1,11,52,L,335.3134202776609,4,0.040000000000001035,-0.019166666666664434,0.15916666666666784,2.669999999999998
10:4:25 - 27/11/2024,22.555,3.37,29.12,12.83,32.43,16907,Active,1,11,52,L,360.0,4,0.060000000000001,-0.007499999999997729,0.03916666666666724,2.7399999999999984
10:4:25 - 27/11/2024,22.685,3.57,29.12,12.83,34.22,17080,Active,1,11,53,R,0.0,1,0.04000000000000109,-0.06750000000000007,0.29000000000000054,0.8949999999999977
10:4:25 - 27/11/2024,22.755,3.57,29.0,13.35,34.22,17165,Active,1,11,53,R,14.454416627302786,1,0.010000000000001175,-0.06999999999999987,0.3033333333333339,-3.255000000000001
10:4:25 - 27/11/2024,22.923,3.47,29.0,13.35,27.71,17351,Active,1,11,53,R,46.084081247047706,1,-0.02999999999999875,0.05916666666666751,-0.24833333333333288,-3.2550000000000003
10:4:25 - 27/11/2024,22.997,3.47,29.0,13.35,27.71,17429,Active,1,11,53,R,59.34813415210203,1,-0.019999999999998797,-0.3283333333333328,1.4050000000000027,-0.8200000000000018
10:4:25 - 27/11/2024,23.076,3.47,28.41,15.81,26.07,17506,Active,1,11,53,R,72.44213509683514,1,1.1102230246251565e-15,-0.43916666666666737,1.625000000000004,-1.6400000000000021
10:4:25 - 27/11/2024,23.203,3.47,28.22,16.17,24.43,17630,Active,1,11,53,R,93.52857817666509,1,1.1102230246251565e-15,-0.1749999999999988,0.13583333333333414,-0.720000000000002
10:4:25 - 27/11/2024,23.33,3.47,28.03,16.41,24.63,17754,Active,1,11,53,R,114.61502125649504,1,0.014000000000001123,-0.08749999999999941,0.17499999999999924,0.09499999999999927
10:4:25 - 27/11/2024,23.407,3.47,28.06,16.52,24.62,17830,Active,1,11,53,R,127.53897024090695,1,0.027000000000001023,0.09999999999999994,0.041666666666668406,0.10499999999999907
10:4:25 - 27/11/2024,23.529,3.54,28.18,16.51,24.84,17951,Active,1,11,53,R,148.11525743977327,1,0.03800000000000098,0.09083333333333453,-0.03833333333333328,0.2099999999999977
10:4:25 - 27/11/2024,23.652,3.57,28.22,16.47,25.04,18074,Active,1,11,53,R,169.031648559282,2,0.03700000000000109,0.013333333333333574,-0.022500000000001318,-0.20500000000000146
10:4:25 - 27/11/2024,23.771,3.61,28.22,16.47,24.43,18190,Active,2,12,53,L,188.75767595654227,3,0.021000000000001184,-0.03333333333333241,0.08083333333333395,-0.19000000000000086
10:4:25 - 27/11/2024,23.95,3.62,28.22,16.47,24.66,18355,Active,2,12,53,L,216.8162494095418,3,0.011000000000001287,0.19583333333333391,-0.49250000000000027,0.11499999999999884
10:4:25 - 27/11/2024,23.981,3.62,28.58,15.54,24.66,18376,Active,2,12,53,L,220.3873405762872,3,0.028000000000001135,0.2916666666666685,-0.8275000000000005,-2.7750000000000017
10:4:25 - 27/11/2024,24.052,3.62,28.75,14.94,19.11,18431,Active,2,12,53,L,229.7401983939537,3,0.039000000000001034,0.18750000000000258,-0.6641666666666669,-2.420000000000001
10:4:25 - 27/11/2024,24.176,3.75,28.96,14.16,19.82,18527,Active,2,12,53,L,246.06518658478979,3,0.1950000000000012,0.13333333333333536,-0.8058333333333338,-0.14000000000000168
10:4:25 - 27/11/2024,24.298,3.75,29.01,13.4,18.83,18617,Active,2,12,53,L,261.36986301369865,3,0.26000000000000134,0.03749999999999935,-0.6533333333333338,-0.4700000000000017
10:4:25 - 27/11/2024,24.418,4.53,29.06,12.89,18.88,18711,Active,2,12,53,L,277.3547472838923,3,0.23400000000000154,0.045833333333334274,-0.38333333333333436,0.745
10:4:25 - 27/11/2024,24.501,4.53,29.1,12.62,20.32,18781,Active,2,12,53,L,289.25838450637696,3,0.15600000000000158,0.0350000000000013,-0.17750000000000063,1.95
10:4:25 - 27/11/2024,24.625,4.53,29.13,12.52,22.78,18896,Active,2,12,53,L,308.814359943316,3,1.4432899320127035e-15,0.0258333333333323,-0.015833333333332252,1.944999999999999
10:4:25 - 27/11/2024,24.744,4.53,29.15,12.57,24.21,19010,Active,2,12,53,L,328.20028341993384,3,0.09000000000000141,0.009166666666667446,0.1016666666666672,-1.343924971308752e-15
10:4:25 - 27/11/2024,24.904,4.53,29.15,12.68,22.78,19155,Active,2,12,53,L,352.8578176665092,4,0.11700000000000138,0.0050000000000007,0.014166666666666689,-0.7150000000000011
10:4:25 - 27/11/2024,24.953,4.98,29.15,12.68,22.78,19197,Active,2,12,53,L,360.0,4,0.10800000000000132,-0.04333333333333166,0.2750000000000013,-0.510000000000001
10:4:25 - 27/11/2024,25.071,4.89,29.07,13.23,21.76,19291,Active,2,12,54,R,0.0,1,0.023000000000001575,-0.06249999999999781,0.5333333333333348,-1.3550000000000015
10:4:25 - 27/11/2024,25.19,4.89,29.03,13.67,20.07,19383,Active,2,12,54,R,13.748443337484431,1,-0.07799999999999835,-0.06333333333333217,0.4716666666666671,-1.2350000000000023
10:4:25 - 27/11/2024,25.278,4.69,28.94,14.2,19.29,19457,Active,2,12,54,R,24.806973848069735,1,-0.05999999999999833,-0.08166666666666603,0.5675000000000009,0.8449999999999995
